date,open,high,low,close,volume
2026-01-02,100.0,100.09,99.77,99.83,929895
2026-01-05,99.83,101.4,98.89,100.93,864647
2026-01-06,100.93,101.0,100.36,100.66,611299
2026-01-07,100.66,102.07,100.36,101.32,2785650
2026-01-08,101.32,101.59,99.74,99.92,1169659
2026-01-09,99.92,103.1,99.49,102.95,1152128
2026-01-12,102.95,104.43,102.55,103.57,2005668
2026-01-13,103.57,104.94,102.99,104.53,682244
2026-01-14,104.53,105.17,103.84,104.34,2815426
2026-01-15,104.34,104.54,103.43,104.14,2016807
2026-01-16,104.14,104.52,101.69,102.04,1713781
2026-01-19,102.04,103.4,101.95,102.4,923630
2026-01-20,102.4,102.78,101.07,101.22,1990113
2026-01-21,101.22,101.32,100.11,100.49,799483
2026-01-22,100.49,100.68,99.79,99.83,2091551
2026-01-23,99.83,99.97,97.87,98.99,2836016
2026-01-26,98.99,99.72,98.97,99.29,634638
2026-01-27,99.29,99.46,98.37,98.84,777615
2026-01-28,98.84,100.91,98.53,99.75,2593927
2026-01-29,99.75,100.63,98.22,98.89,2424564
2026-01-30,98.89,99.66,98.87,99.45,2951931
2026-02-02,99.45,100.04,97.36,97.64,2018323
2026-02-03,97.64,100.34,97.43,98.66,697620
2026-02-04,98.66,98.85,98.44,98.67,1171013
2026-02-05,98.67,99.62,98.22,99.12,2463143
2026-02-06,99.12,101.05,98.88,99.74,548154
2026-02-09,99.74,99.96,98.86,99.48,1926799
2026-02-10,99.48,99.89,97.54,97.88,2403055
2026-02-11,97.88,100.3,97.63,100.28,1249320
2026-02-12,100.28,100.52,96.37,96.38,1751768
2026-02-13,96.38,97.86,96.23,97.37,1177585
2026-02-16,97.37,99.59,97.16,98.76,2724464
2026-02-17,98.76,100.88,98.52,100.55,2022451
2026-02-18,100.55,101.34,99.89,100.65,1789807
2026-02-19,100.65,101.14,100.46,100.77,2538391
2026-02-20,100.77,101.33,99.3,100.57,2734331
2026-02-23,100.57,100.96,99.94,100.7,1611728
2026-02-24,100.7,101.73,100.58,101.05,1388346
2026-02-25,101.05,103.76,100.76,103.39,2173494
2026-02-26,103.39,104.14,101.14,101.16,2337524
2026-02-27,101.16,102.88,101.16,102.55,588224
2026-03-02,102.55,103.48,102.35,103.16,1423658
2026-03-03,103.16,105.68,102.98,105.64,631755
2026-03-04,105.64,106.04,105.48,105.91,1498263
2026-03-05,105.91,106.51,104.82,105.64,2895128
2026-03-06,105.64,105.99,104.89,105.07,2483792
2026-03-09,105.07,105.8,104.61,105.48,2276617
2026-03-10,105.48,107.39,104.92,106.49,727210
2026-03-11,106.49,107.85,103.98,104.41,1923138
2026-03-12,104.41,105.46,104.17,105.38,1303587
2026-03-13,105.38,106.61,105.0,106.07,1547764
2026-03-16,106.07,106.88,105.92,106.73,2808231
2026-03-17,106.73,109.14,106.64,108.68,891172
2026-03-18,108.68,109.63,108.19,108.66,1197559
2026-03-19,108.66,109.01,106.4,107.16,1190538
2026-03-20,107.16,108.29,103.56,104.61,1612342
2026-03-23,104.61,107.55,104.43,107.13,2831061
2026-03-24,107.13,109.93,106.6,109.6,1296489
2026-03-25,109.6,110.98,107.8,108.4,1815353
2026-03-26,108.4,109.07,107.23,107.48,2609107
