date,open,high,low,close,volume
2026-01-02,190.0,195.54,189.91,193.58,2578005
2026-01-05,193.58,193.69,190.15,191.66,2092221
2026-01-06,191.66,192.68,189.15,192.1,2315156
2026-01-07,192.1,194.96,190.67,193.16,2368089
2026-01-08,193.16,195.58,192.29,192.82,1831396
2026-01-09,192.82,193.12,192.23,192.29,2770848
2026-01-12,192.29,198.16,190.91,197.99,621805
2026-01-13,197.99,200.31,191.03,191.42,2579587
2026-01-14,191.42,191.82,188.25,189.24,1715432
2026-01-15,189.24,190.47,184.77,185.37,2833938
2026-01-16,185.37,186.85,183.94,186.57,1743151
2026-01-19,186.57,187.42,182.88,183.68,2600506
2026-01-20,183.68,186.84,182.76,186.31,1772419
2026-01-21,186.31,187.06,179.68,183.05,2594476
2026-01-22,183.05,186.18,182.76,184.92,1518125
2026-01-23,184.92,184.97,183.39,184.7,1225645
2026-01-26,184.7,186.68,180.91,181.25,862671
2026-01-27,181.25,182.65,176.75,177.3,1186600
2026-01-28,177.3,177.46,174.68,174.98,682398
2026-01-29,174.98,176.02,172.76,175.16,2987992
2026-01-30,175.16,175.99,171.76,172.18,551596
2026-02-02,172.18,174.02,170.69,173.83,2799898
2026-02-03,173.83,175.76,172.3,174.3,2425738
2026-02-04,174.3,175.81,172.54,173.5,523945
2026-02-05,173.5,175.1,167.37,170.07,2649580
2026-02-06,170.07,170.59,167.3,168.63,2854505
2026-02-09,168.63,173.16,167.51,170.36,2825327
2026-02-10,170.36,171.21,169.02,170.77,2533923
2026-02-11,170.77,173.02,169.28,171.87,1888891
2026-02-12,171.87,172.32,171.8,172.04,1463033
2026-02-13,172.04,173.19,169.95,170.17,2811183
2026-02-16,170.17,171.89,168.07,171.25,1570780
2026-02-17,171.25,177.62,169.07,177.02,2400014
2026-02-18,177.02,181.4,176.83,179.3,1546727
2026-02-19,179.3,181.53,178.51,178.92,1202421
2026-02-20,178.92,181.79,177.63,180.96,1205251
2026-02-23,180.96,182.49,178.54,179.08,2582445
2026-02-24,179.08,183.26,179.04,182.98,2121338
2026-02-25,182.98,184.88,180.55,180.6,2639581
2026-02-26,180.6,185.95,180.12,182.67,2310494
2026-02-27,182.67,183.27,181.95,183.03,1172043
2026-03-02,183.03,184.78,182.52,183.34,2289562
2026-03-03,183.34,183.59,179.5,181.75,2666775
2026-03-04,181.75,183.23,180.73,181.2,628766
2026-03-05,181.2,182.22,177.96,178.72,746562
2026-03-06,178.72,182.1,178.07,182.05,1389744
2026-03-09,182.05,184.52,181.36,183.74,1749398
2026-03-10,183.74,183.79,180.85,182.17,1558466
2026-03-11,182.17,185.76,181.16,184.55,1412640
2026-03-12,184.55,186.18,181.52,181.91,1219394
2026-03-13,181.91,186.77,181.58,184.47,656965
2026-03-16,184.47,185.33,180.26,181.07,1363027
2026-03-17,181.07,182.27,175.17,176.38,2136032
2026-03-18,176.38,176.79,173.58,174.96,1864598
2026-03-19,174.96,175.76,173.07,173.21,1874644
2026-03-20,173.21,175.33,171.76,174.74,1066831
2026-03-23,174.74,175.46,172.92,173.98,2796912
2026-03-24,173.98,175.38,167.94,169.99,2741142
2026-03-25,169.99,170.33,163.05,163.23,855174
2026-03-26,163.23,167.49,162.72,167.02,2757411
