date,open,high,low,close,volume
2026-01-02,150.0,151.77,148.88,150.27,2936270
2026-01-05,150.27,152.88,150.19,152.7,2468103
2026-01-06,152.7,153.59,151.26,152.64,2805320
2026-01-07,152.64,154.36,152.35,152.61,1131731
2026-01-08,152.61,153.51,151.53,152.81,563530
2026-01-09,152.81,153.02,151.37,151.76,2979251
2026-01-12,151.76,156.46,151.33,155.88,2994560
2026-01-13,155.88,156.38,151.67,154.16,2290694
2026-01-14,154.16,155.52,148.06,150.71,2033100
2026-01-15,150.71,153.22,150.34,152.68,1410109
2026-01-16,152.68,154.5,152.11,152.54,2266424
2026-01-19,152.54,153.74,147.82,147.87,1971825
2026-01-20,147.87,148.13,145.43,145.55,620210
2026-01-21,145.55,149.94,142.75,147.69,1184089
2026-01-22,147.69,148.69,145.59,147.07,936525
2026-01-23,147.07,147.25,145.53,146.32,2905569
2026-01-26,146.32,146.92,144.57,146.23,2527982
2026-01-27,146.23,148.44,145.12,146.65,2221601
2026-01-28,146.65,147.21,145.56,147.07,998775
2026-01-29,147.07,149.76,146.62,148.19,688493
2026-01-30,148.19,149.28,143.47,145.97,1670519
2026-02-02,145.97,150.18,144.22,144.36,1798850
2026-02-03,144.36,145.54,141.61,145.51,2211008
2026-02-04,145.51,145.75,143.42,144.29,677988
2026-02-05,144.29,146.55,143.89,146.42,2084562
2026-02-06,146.42,149.15,144.77,147.45,2119810
2026-02-09,147.45,148.7,144.02,145.53,2626624
2026-02-10,145.53,145.75,142.78,144.4,1496716
2026-02-11,144.4,147.22,144.35,146.73,1921483
2026-02-12,146.73,150.0,146.64,148.77,2932550
2026-02-13,148.77,149.83,147.36,147.9,1894399
2026-02-16,147.9,149.64,146.9,147.27,1978815
2026-02-17,147.27,147.87,144.29,145.84,589139
2026-02-18,145.84,146.96,145.64,146.09,2413911
2026-02-19,146.09,147.6,144.85,145.18,2048343
2026-02-20,145.18,147.07,144.42,146.56,2081925
2026-02-23,146.56,151.35,144.81,150.0,1051218
2026-02-24,150.0,150.31,148.6,149.39,1629853
2026-02-25,149.39,150.31,147.69,149.54,927155
2026-02-26,149.54,153.43,147.81,151.05,1441455
2026-02-27,151.05,151.95,146.17,146.69,1414441
2026-03-02,146.69,149.57,145.84,148.59,1443835
2026-03-03,148.59,149.08,147.59,148.78,2911033
2026-03-04,148.78,149.17,147.4,148.28,858755
2026-03-05,148.28,150.11,147.6,149.08,1637388
2026-03-06,149.08,152.24,148.71,150.57,1718020
2026-03-09,150.57,151.17,147.84,148.45,519552
2026-03-10,148.45,150.67,147.51,147.83,2639685
2026-03-11,147.83,148.99,141.84,142.57,2415418
2026-03-12,142.57,143.44,140.47,141.9,2676906
2026-03-13,141.9,145.04,140.16,144.71,2969093
2026-03-16,144.71,145.29,141.71,141.81,1525649
2026-03-17,141.81,147.27,140.92,146.56,2303075
2026-03-18,146.56,146.73,141.52,141.61,1006730
2026-03-19,141.61,143.4,140.89,142.55,2235395
2026-03-20,142.55,144.93,139.41,140.22,976419
2026-03-23,140.22,140.94,138.51,139.33,757396
2026-03-24,139.33,139.77,136.85,137.43,2742430
2026-03-25,137.43,138.67,137.37,138.31,1038906
2026-03-26,138.31,140.18,138.19,140.12,2894508
