date,open,high,low,close,volume
2026-01-02,497.55,501.92,495.89,500.0,2935740
2026-01-05,500.0,501.6,497.7,500.63,1617310
2026-01-06,500.63,501.32,500.52,500.61,2161552
2026-01-07,500.61,502.62,500.41,501.41,2689462
2026-01-08,501.41,506.44,500.46,503.79,2874554
2026-01-09,503.79,505.3,500.32,502.99,2848158
2026-01-12,502.99,508.87,502.19,507.48,2017215
2026-01-13,507.48,509.74,501.48,503.11,2725965
2026-01-14,503.11,504.4,498.23,499.98,2259161
2026-01-15,499.98,500.65,496.99,499.99,2568554
2026-01-16,499.99,502.03,497.73,500.55,1729950
2026-01-19,500.55,501.01,493.93,494.4,2927072
2026-01-20,494.4,498.28,494.21,497.02,2300313
2026-01-21,497.02,498.79,495.2,496.59,2027253
2026-01-22,496.59,499.48,492.79,495.35,1524077
2026-01-23,495.35,497.5,495.01,495.48,2626108
2026-01-26,495.48,497.71,489.65,491.91,2213399
2026-01-27,491.91,492.24,490.14,491.42,2451527
2026-01-28,491.42,491.43,489.29,491.41,2052366
2026-01-29,491.41,494.28,488.91,491.15,2564685
2026-01-30,491.15,493.84,485.08,487.63,2125884
2026-02-02,487.63,490.6,486.15,488.14,1917146
2026-02-03,488.14,488.59,485.47,487.7,2631159
2026-02-04,487.7,490.49,482.97,485.66,1501199
2026-02-05,485.66,487.71,484.24,485.96,1734603
2026-02-06,485.96,491.86,483.4,489.14,2144903
2026-02-09,489.14,490.23,488.43,489.53,2689833
2026-02-10,489.53,492.63,489.28,489.85,2519195
2026-02-11,489.85,494.5,486.98,492.09,2617165
2026-02-12,492.09,496.35,491.71,494.08,2496739
2026-02-13,494.08,496.89,490.57,491.06,2606612
2026-02-16,491.06,494.72,489.81,492.14,1944173
2026-02-17,492.14,494.89,488.35,490.58,2946757
2026-02-18,490.58,491.17,484.98,485.89,2908629
2026-02-19,485.89,487.78,483.44,484.71,2585435
2026-02-20,484.71,486.02,482.86,483.58,1634272
2026-02-23,483.58,485.32,481.88,484.33,1982585
2026-02-24,484.33,488.87,484.31,487.15,2984450
2026-02-25,487.15,489.0,482.65,483.31,1565877
2026-02-26,483.31,488.79,483.1,486.28,1999131
2026-02-27,486.28,487.09,480.11,481.52,2630855
2026-03-02,481.52,482.41,478.81,482.03,2697564
2026-03-03,482.03,483.69,480.63,481.34,2491896
2026-03-04,481.34,485.14,480.79,482.8,1703278
2026-03-05,482.8,485.16,481.77,483.25,2362143
2026-03-06,483.25,488.78,481.13,487.41,2912147
2026-03-09,487.41,491.21,485.52,489.29,1627113
2026-03-10,489.29,490.47,488.2,489.2,1729153
2026-03-11,489.2,489.93,487.75,488.31,2440810
2026-03-12,488.31,488.72,484.66,485.19,2470201
2026-03-13,485.19,489.28,482.5,488.55,2429312
2026-03-16,488.55,490.91,481.56,484.05,1705329
2026-03-17,484.05,484.2,480.29,483.18,1530949
2026-03-18,483.18,485.99,475.62,478.28,1995723
2026-03-19,478.28,482.57,476.88,482.09,1948260
2026-03-20,482.09,484.59,476.31,478.9,1845269
2026-03-23,478.9,479.99,471.4,474.2,2056171
2026-03-24,474.2,476.84,469.59,471.81,2098210
2026-03-25,471.81,473.01,468.26,470.96,2665530
2026-03-26,470.96,477.71,469.59,475.82,1898244
